Datum,id,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,WetterCode_0,WetterCode_3,WetterCode_5,WetterCode_10,WetterCode_17,WetterCode_20,WetterCode_21,WetterCode_22,WetterCode_28,WetterCode_45,WetterCode_49,WetterCode_53,WetterCode_61,WetterCode_63,WetterCode_65,WetterCode_68,WetterCode_69,WetterCode_71,WetterCode_73,WetterCode_75,WetterCode_77,WetterCode_79,WetterCode_95,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,sales_daily,Feiertag,is_holiday,Christi Himmelfahrt,Erster Mai,Erster Weihnachtstag,Karfreitag,Neujahr,Ostermontag,Pfingstmontag,Reformationstag,Tag der Deutschen Einheit,Zweiter Weihnachtstag,DAX,Wochentag,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,day_length_h,fussball_event,schulferien,ferientyp,Ferien_Herbstferien,Ferien_Keine Ferien,Ferien_Osterferien,Ferien_Sommerferien,Ferien_Weihnachtsferien,Ferien_Winterferien,Monat,day_of_year,avg_sales_per_group_dayofyear,avg_sales_per_group_month_weekday
2013-07-01,1307011,1,148.828353112183,6.0,17.8375,15.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1269.24910731998,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7983.919921875,0,1,0,0,0,0,0,0,17.10147313527778,0,1,Sommerferien,0,0,0,1,0,0,7,182,127.21019441328194,156.36340507760673
2013-07-01,1307013,3,201.198425690037,6.0,17.8375,15.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1269.24910731998,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7983.919921875,0,1,0,0,0,0,0,0,17.10147313527778,0,1,Sommerferien,0,0,0,1,0,0,7,182,191.61788259600416,239.5287803364937
2013-07-01,1307014,4,65.890168799361,6.0,17.8375,15.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1269.24910731998,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7983.919921875,0,1,0,0,0,0,0,0,17.10147313527778,0,1,Sommerferien,0,0,0,1,0,0,7,182,72.34960562995316,81.70194453963646
2013-07-01,1307015,5,317.475874933038,6.0,17.8375,15.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1269.24910731998,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7983.919921875,0,1,0,0,0,0,0,0,17.10147313527778,0,1,Sommerferien,0,0,0,1,0,0,7,182,289.895193682707,297.24670542814204
2013-07-01,1307012,2,535.856284785361,6.0,17.8375,15.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1269.24910731998,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7983.919921875,0,1,0,0,0,0,0,0,17.10147313527778,0,1,Sommerferien,0,0,0,1,0,0,7,182,463.1711279137433,532.2853245438093
2013-07-02,1307024,4,74.5439171827412,3.0,17.3125,10.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1430.0083973267333,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7910.77001953125,1,0,1,0,0,0,0,0,17.080784779444446,0,1,Sommerferien,0,0,0,1,0,0,7,183,74.52382808632116,71.22986659259041
2013-07-02,1307023,3,265.261253994438,3.0,17.3125,10.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1430.0083973267333,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7910.77001953125,1,0,1,0,0,0,0,0,17.080784779444446,0,1,Sommerferien,0,0,0,1,0,0,7,183,211.85162494479349,242.5807821304261
2013-07-02,1307021,1,159.79375714468,3.0,17.3125,10.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1430.0083973267333,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7910.77001953125,1,0,1,0,0,0,0,0,17.080784779444446,0,1,Sommerferien,0,0,0,1,0,0,7,183,127.36057221761365,133.32591722431954
2013-07-02,1307025,5,383.628681612577,3.0,17.3125,10.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1430.0083973267333,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7910.77001953125,1,0,1,0,0,0,0,0,17.080784779444446,0,1,Sommerferien,0,0,0,1,0,0,7,183,276.34385549591747,305.4683348705091
2013-07-02,1307022,2,546.780787392297,3.0,17.3125,10.0,20.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1430.0083973267333,Kein Feiertag,0,0,0,0,0,0,0,0,0,0,0,7910.77001953125,1,0,1,0,0,0,0,0,17.080784779444446,0,1,Sommerferien,0,0,0,1,0,0,7,183,435.8012715425532,534.8651350401349
